Model,RÂ² Score,MSE
Linear Regression,0.7674858556523745,21.88910151857077
Ridge Regression,0.7679365580071634,21.846671972504595
Lasso Regression,0.7008121785462197,28.165824557884374
ElasticNet Regression,0.7072988143583476,27.5551665258578
Random Forest,0.955645902987211,4.175536653916212
Gradient Boosting,0.9221015145902661,7.333437112226936
Support Vector Regression,0.7940798632385655,19.38551648518259
Decision Tree,0.9170236147212523,7.811475409836065
K-Neighbors,0.8710653893021274,12.138026229508199
